"Part","Value","Device","Package","Description","AVAILABILITY","DESCRIPTION","MF","MP","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","PRICE","SPICEPREFIX","TP_SIGNAL_NAME",
"B2","MD5S","RECTIFIER-S80","TO-269AA","Rectifier","","","","","","","","","","","",
"B4","MD5S","RECTIFIER-S80","TO-269AA","Rectifier","","","","","","","","","","","",
"B6","MD5S","RECTIFIER-S80","TO-269AA","Rectifier","","","","","","","","","","","",
"B8","MD5S","RECTIFIER-S80","TO-269AA","Rectifier","","","","","","","","","","","",
"C1","2u2","C-EUC0603","C0603","CAPACITOR, European symbol","","","","","","","","","","","",
"C3","4.7uF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","C","",
"C6","4.7uF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","C","",
"C7","0.1uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"C8","4.7uF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","C","",
"C9","0.1uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"C10","4.7uF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","C","",
"C11","0.1uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"C12","47nF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","C","",
"C14","47nF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","C","",
"C16","47nF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","C","",
"C18","47nF","C-USC0805","C0805","CAPACITOR, American symbol","","","","","","","","","","C","",
"C19","0.1uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"C20","1uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"C21","10uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"C22","0.1uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"C23","0.1uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"C27","0.1uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"C28","0.1uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"C29","0.1uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"C33","0.1uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"C34","0.1uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"C35","0.1uF","C-USC0603","C0603","CAPACITOR, American symbol","","","","","","","","","","C","",
"CLK1","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"CLK3","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"CLK5","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"CLK7","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"D1","ES2D","ES2D","SMB","DIODE","","","","","","","","","","","",
"D2","MBRA340T3","MBRA340T3","SMA","Surface Mount Schottky Power Rectifier","","","","","","","","","","","",
"D4","MBRA340T3","MBRA340T3","SMA","Surface Mount Schottky Power Rectifier","","","","","","","","","","","",
"D6","MBRA340T3","MBRA340T3","SMA","Surface Mount Schottky Power Rectifier","","","","","","","","","","","",
"D8","MBRA340T3","MBRA340T3","SMA","Surface Mount Schottky Power Rectifier","","","","","","","","","","","",
"DAT1","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"DAT3","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"DAT5","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"DAT7","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"GND1","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"GND3","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"GND5","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"GND14","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"JP4","M14","M14","1X14","Header 14","","","","","","","","","","","",
"JP5","M14","M14","1X14","Header 14","","","","","","","","","","","",
"JP6","","HEADER-1X2ROUND","1X02_ROUND","PIN HEADER","","","","","","","","","","","",
"L2","","L-USL2012C","L2012C","INDUCTOR, American symbol","","","","","","","","","","L","",
"L4","","L-USL2012C","L2012C","INDUCTOR, American symbol","","","","","","","","","","L","",
"L6","","L-USL2012C","L2012C","INDUCTOR, American symbol","","","","","","","","","","L","",
"L8","","L-USL2012C","L2012C","INDUCTOR, American symbol","","","","","","","","","","L","",
"LED2","","LED0603","CHIPLED_0603","LED","","","","","","","","","","","",
"MCLR1","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"MCLR3","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"MCLR5","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"MCLR7","TPSTP14R","TPSTP14R","TP14R","TEST PIN","","","","","","","","","","","",
"P2","","HEADER-1X4ROUND","1X04_ROUND","PIN HEADER","","","","","","","","","","","",
"PGM1","DTSM-3","DTSM-3","DTSM-3","","","","","","","","","","","","",
"Q3","MMBT2222A","MMBT2222A","SOT23","2N2222 General Purpose NPN Transistor","Unavailable"," ","STMicroelectronics","MMBT2222A","","","","TO-236-3 Taitron","None","","",
"Q4","MMBT2222A","MMBT2222A","SOT23","2N2222 General Purpose NPN Transistor","Unavailable"," ","STMicroelectronics","MMBT2222A","","","","TO-236-3 Taitron","None","","",
"R1","10K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R3","10k","R-EU_R0603","R0603@1","RESISTOR, European symbol","","","","","","","","","","","",
"R8","10k","R-EU_R0603","R0603@1","RESISTOR, European symbol","","","","","","","","","","","",
"R9","10K","R-EU_R0603","R0603@1","RESISTOR, European symbol","","","","","","","","","","","",
"R10","1K","R-EU_R0603","R0603@1","RESISTOR, European symbol","","","","","","","","","","","",
"R11","","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R12","","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R15","100K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R16","3.9K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R17","30K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R18","10K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","","",
"R19","100K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R20","15K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R21","15K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R22","3.9K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R23","30K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R24","10K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","","",
"R25","1K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R26","470","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R27","150","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R28","3.9K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R29","30K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R30","10K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","","",
"R34","3.9K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R35","30K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R36","10K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","","",
"R41","100K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R42","100K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R43","330","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R44","47K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R45","100","R-US_R1210","R1210","RESISTOR, American symbol","","","","","","","","","","R","",
"R46","VC0805K121R025","VARISTORCN0805","CT/CN0805","VARISTOR","","","","","","","","","","","",
"R47","100K","R-US_R0805","R0805","RESISTOR, American symbol","","","","","","","","","","R","",
"R48","15K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
"R49","15K","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","R","",
